NO	Time	MMode	MValue	MUnit	SMode	SValue	SUnit	Freq
1	2016-01-09 15:41:57	Rs	,5013	KOhm	?	0,0	Deg	1KHz
2	2016-01-09 15:41:58	Rs	,5008	KOhm	?	0,0	Deg	1KHz
3	2016-01-09 15:41:58	Rs	,5008	KOhm	?	0,0	Deg	1KHz
4	2016-01-09 15:41:59	Rs	,5008	KOhm	?	0,0	Deg	1KHz
5	2016-01-09 15:41:59	Rs	,5008	KOhm	?	0,0	Deg	1KHz
6	2016-01-09 15:42:00	Rs	,5008	KOhm	?	0,0	Deg	1KHz
7	2016-01-09 15:42:00	Rs	,5008	KOhm	?	0,0	Deg	1KHz
8	2016-01-09 15:42:01	Rs	,5007	KOhm	?	0,0	Deg	1KHz
9	2016-01-09 15:42:01	Rs	,5007	KOhm	?	0,0	Deg	1KHz
10	2016-01-09 15:42:02	Rs	,5007	KOhm	?	0,0	Deg	1KHz
11	2016-01-09 15:42:02	Rs	,5007	KOhm	?	0,0	Deg	1KHz
12	2016-01-09 15:42:03	Rs	,5007	KOhm	?	0,0	Deg	1KHz
13	2016-01-09 15:42:03	Rs	,5007	KOhm	?	0,0	Deg	1KHz
14	2016-01-09 15:42:04	Rs	,5007	KOhm	?	0,0	Deg	1KHz
15	2016-01-09 15:42:04	Rs	,5007	KOhm	?	0,0	Deg	1KHz
16	2016-01-09 15:42:05	Rs	,5007	KOhm	?	0,0	Deg	1KHz
17	2016-01-09 15:42:05	Rs	,5007	KOhm	?	0,0	Deg	1KHz
18	2016-01-09 15:42:06	Rs	,5007	KOhm	?	0,0	Deg	1KHz
19	2016-01-09 15:42:06	Rs	,5007	KOhm	?	0,0	Deg	1KHz
20	2016-01-09 15:42:07	Rs	,5007	KOhm	?	0,0	Deg	1KHz
21	2016-01-09 15:42:07	Rs	,5007	KOhm	?	0,0	Deg	1KHz
22	2016-01-09 15:42:08	Rs	,5007	KOhm	?	0,0	Deg	1KHz
23	2016-01-09 15:42:08	Rs	,5007	KOhm	?	0,0	Deg	1KHz
24	2016-01-09 15:42:09	Rs	,5007	KOhm	?	0,0	Deg	1KHz
25	2016-01-09 15:42:09	Rs	,5007	KOhm	?	0,0	Deg	1KHz
26	2016-01-09 15:42:10	Rs	,5007	KOhm	?	0,0	Deg	1KHz
27	2016-01-09 15:42:10	Rs	,5007	KOhm	?	0,0	Deg	1KHz
28	2016-01-09 15:42:11	Rs	,5007	KOhm	?	0,0	Deg	1KHz
29	2016-01-09 15:42:11	Rs	,5007	KOhm	?	0,0	Deg	1KHz
30	2016-01-09 15:42:12	Rs	,5007	KOhm	?	0,0	Deg	1KHz
31	2016-01-09 15:42:12	Rs	,5006	KOhm	?	0,0	Deg	1KHz
32	2016-01-09 15:42:13	Rs	,5006	KOhm	?	0,0	Deg	1KHz
33	2016-01-09 15:42:13	Rs	,5006	KOhm	?	0,0	Deg	1KHz
34	2016-01-09 15:42:14	Rs	,5006	KOhm	?	0,0	Deg	1KHz
35	2016-01-09 15:42:14	Rs	,5006	KOhm	?	0,0	Deg	1KHz
36	2016-01-09 15:42:15	Rs	,5006	KOhm	?	0,0	Deg	1KHz
37	2016-01-09 15:42:15	Rs	,5006	KOhm	?	0,0	Deg	1KHz
38	2016-01-09 15:42:16	Rs	,5006	KOhm	?	0,0	Deg	1KHz
39	2016-01-09 15:42:16	Rs	,5006	KOhm	?	0,0	Deg	1KHz
40	2016-01-09 15:42:17	Rs	,5006	KOhm	?	0,0	Deg	1KHz
41	2016-01-09 15:42:17	Rs	,5006	KOhm	?	0,0	Deg	1KHz
42	2016-01-09 15:42:18	Rs	,5006	KOhm	?	0,0	Deg	1KHz
43	2016-01-09 15:42:18	Rs	,5006	KOhm	?	0,0	Deg	1KHz
44	2016-01-09 15:42:19	Rs	,5006	KOhm	?	0,0	Deg	1KHz
45	2016-01-09 15:42:19	Rs	,5006	KOhm	?	0,0	Deg	1KHz
46	2016-01-09 15:42:20	Rs	,5006	KOhm	?	0,0	Deg	1KHz
47	2016-01-09 15:42:20	Rs	,5006	KOhm	?	0,0	Deg	1KHz
48	2016-01-09 15:42:21	Rs	,5006	KOhm	?	0,0	Deg	1KHz
49	2016-01-09 15:42:21	Rs	,5006	KOhm	?	0,0	Deg	1KHz
50	2016-01-09 15:42:22	Rs	,5006	KOhm	?	0,0	Deg	1KHz
51	2016-01-09 15:42:22	Rs	,5006	KOhm	?	0,0	Deg	1KHz
52	2016-01-09 15:42:23	Rs	,5006	KOhm	?	0,0	Deg	1KHz
53	2016-01-09 15:42:23	Rs	,5006	KOhm	?	0,0	Deg	1KHz
54	2016-01-09 15:42:24	Rs	,5006	KOhm	?	0,0	Deg	1KHz
55	2016-01-09 15:42:24	Rs	,5005	KOhm	?	0,0	Deg	1KHz
56	2016-01-09 15:42:25	Rs	,5005	KOhm	?	0,0	Deg	1KHz
57	2016-01-09 15:42:25	Rs	,5005	KOhm	?	0,0	Deg	1KHz
58	2016-01-09 15:42:26	Rs	,5005	KOhm	?	0,0	Deg	1KHz
59	2016-01-09 15:42:26	Rs	,5005	KOhm	?	0,0	Deg	1KHz
60	2016-01-09 15:42:27	Rs	,5005	KOhm	?	0,0	Deg	1KHz
61	2016-01-09 15:42:27	Rs	,5005	KOhm	?	0,0	Deg	1KHz
62	2016-01-09 15:42:28	Rs	,5005	KOhm	?	0,0	Deg	1KHz
63	2016-01-09 15:42:29	Rs	,5005	KOhm	?	0,0	Deg	1KHz
64	2016-01-09 15:42:29	Rs	,5005	KOhm	?	0,0	Deg	1KHz
65	2016-01-09 15:42:29	Rs	,5005	KOhm	?	0,0	Deg	1KHz
66	2016-01-09 15:42:30	Rs	,5005	KOhm	?	0,0	Deg	1KHz
67	2016-01-09 15:42:30	Rs	,5005	KOhm	?	0,0	Deg	1KHz
68	2016-01-09 15:42:31	Rs	,5005	KOhm	?	0,0	Deg	1KHz
69	2016-01-09 15:42:31	Rs	,5005	KOhm	?	0,0	Deg	1KHz
70	2016-01-09 15:42:32	Rs	,5005	KOhm	?	0,0	Deg	1KHz
71	2016-01-09 15:42:32	Rs	,5005	KOhm	?	0,0	Deg	1KHz
72	2016-01-09 15:42:33	Rs	,5005	KOhm	?	0,0	Deg	1KHz
73	2016-01-09 15:42:33	Rs	,5005	KOhm	?	0,0	Deg	1KHz
74	2016-01-09 15:42:34	Rs	,5005	KOhm	?	0,0	Deg	1KHz
75	2016-01-09 15:42:34	Rs	,5005	KOhm	?	0,0	Deg	1KHz
76	2016-01-09 15:42:35	Rs	,5005	KOhm	?	0,0	Deg	1KHz
77	2016-01-09 15:42:35	Rs	,5005	KOhm	?	0,0	Deg	1KHz
78	2016-01-09 15:42:36	Rs	,5005	KOhm	?	0,0	Deg	1KHz
79	2016-01-09 15:42:36	Rs	,5005	KOhm	?	0,0	Deg	1KHz
80	2016-01-09 15:42:37	Rs	,5005	KOhm	?	0,0	Deg	1KHz
81	2016-01-09 15:42:37	Rs	,5005	KOhm	?	0,0	Deg	1KHz
82	2016-01-09 15:42:38	Rs	,5005	KOhm	?	0,0	Deg	1KHz
83	2016-01-09 15:42:39	Rs	,5005	KOhm	?	0,0	Deg	1KHz
84	2016-01-09 15:42:39	Rs	,5005	KOhm	?	0,0	Deg	1KHz
85	2016-01-09 15:42:39	Rs	,5004	KOhm	?	0,0	Deg	1KHz
86	2016-01-09 15:42:40	Rs	,5004	KOhm	?	0,0	Deg	1KHz
87	2016-01-09 15:42:40	Rs	,5004	KOhm	?	0,0	Deg	1KHz
88	2016-01-09 15:42:41	Rs	,5004	KOhm	?	0,0	Deg	1KHz
89	2016-01-09 15:42:41	Rs	,5004	KOhm	?	0,0	Deg	1KHz
90	2016-01-09 15:42:42	Rs	,5004	KOhm	?	0,0	Deg	1KHz
91	2016-01-09 15:42:42	Rs	,5004	KOhm	?	0,0	Deg	1KHz
92	2016-01-09 15:42:43	Rs	,5004	KOhm	?	0,0	Deg	1KHz
93	2016-01-09 15:42:44	Rs	,5004	KOhm	?	0,0	Deg	1KHz
94	2016-01-09 15:42:44	Rs	,5004	KOhm	?	0,0	Deg	1KHz
95	2016-01-09 15:42:45	Rs	,5004	KOhm	?	0,0	Deg	1KHz
96	2016-01-09 15:42:45	Ls	-		Q	-		1KHz
97	2016-01-09 15:42:46	Ls	0,0	uH	Q	0,000		1KHz
98	2016-01-09 15:42:46	Ls	10,0	uH	Q	0,000		1KHz
99	2016-01-09 15:42:46	Ls	10,0	uH	Q	0,000		1KHz
100	2016-01-09 15:42:47	Ls	10,0	uH	Q	0,000		1KHz
101	2016-01-09 15:42:47	Ls	10,0	uH	Q	0,000		1KHz
102	2016-01-09 15:42:48	Ls	10,0	uH	Q	0,000		1KHz
103	2016-01-09 15:42:49	Ls	10,1	uH	Q	0,000		1KHz
104	2016-01-09 15:42:49	Ls	10,1	uH	Q	0,000		1KHz
105	2016-01-09 15:42:50	Ls	10,1	uH	Q	0,000		1KHz
106	2016-01-09 15:42:50	Ls	10,0	uH	Q	0,000		1KHz
107	2016-01-09 15:42:51	Ls	10,0	uH	Q	0,000		1KHz
108	2016-01-09 15:42:51	Ls	10,0	uH	Q	0,000		1KHz
109	2016-01-09 15:42:52	Ls	10,0	uH	Q	0,000		1KHz
110	2016-01-09 15:42:52	Ls	10,0	uH	Q	0,000		1KHz
111	2016-01-09 15:42:53	Ls	10,0	uH	Q	0,000		1KHz
112	2016-01-09 15:42:53	Ls	10,0	uH	Q	0,000		1KHz
113	2016-01-09 15:42:54	Ls	10,0	uH	Q	0,000		1KHz
114	2016-01-09 15:42:54	Ls	10,0	uH	Q	0,000		1KHz
115	2016-01-09 15:42:55	Ls	10,0	uH	Q	0,000		1KHz
116	2016-01-09 15:42:55	Ls	10,0	uH	Q	0,000		1KHz
117	2016-01-09 15:42:56	Ls	10,0	uH	Q	0,000		1KHz
118	2016-01-09 15:42:56	Ls	10,0	uH	Q	0,000		1KHz
119	2016-01-09 15:42:57	Ls	10,0	uH	Q	0,000		1KHz
120	2016-01-09 15:42:57	Ls	10,0	uH	Q	0,000		1KHz
121	2016-01-09 15:42:58	Ls	10,0	uH	Q	0,000		1KHz
122	2016-01-09 15:42:58	Ls	10,0	uH	Q	0,000		1KHz
123	2016-01-09 15:42:59	Ls	10,0	uH	Q	0,000		1KHz
124	2016-01-09 15:42:59	Ls	10,0	uH	Q	0,000		1KHz
125	2016-01-09 15:43:00	Ls	10,0	uH	Q	0,000		1KHz
126	2016-01-09 15:43:00	Ls	10,0	uH	Q	0,000		1KHz
127	2016-01-09 15:43:01	Ls	10,0	uH	Q	0,000		1KHz
128	2016-01-09 15:43:01	Ls	10,0	uH	Q	0,000		1KHz
129	2016-01-09 15:43:02	Ls	10,0	uH	Q	0,000		1KHz
130	2016-01-09 15:43:02	Ls	10,0	uH	Q	0,000		1KHz
131	2016-01-09 15:43:03	Ls	10,0	uH	Q	0,000		1KHz
132	2016-01-09 15:43:03	Ls	10,0	uH	Q	0,000		1KHz
133	2016-01-09 15:43:04	Ls	10,0	uH	Q	0,000		1KHz
134	2016-01-09 15:43:04	Ls	10,0	uH	Q	0,000		1KHz
135	2016-01-09 15:43:05	Ls	10,0	uH	Q	0,000		1KHz
136	2016-01-09 15:43:05	Ls	10,0	uH	Q	0,000		1KHz
137	2016-01-09 15:43:06	Ls	10,0	uH	Q	0,000		1KHz
138	2016-01-09 15:43:06	Ls	10,0	uH	Q	0,000		1KHz
139	2016-01-09 15:43:07	Ls	10,4	uH	Q	0,000		1KHz
140	2016-01-09 15:43:07	Ls	10,6	uH	Q	0,000		1KHz
141	2016-01-09 15:43:08	Ls	10,6	uH	Q	0,000		1KHz
142	2016-01-09 15:43:08	Ls	10,6	uH	Q	0,000		1KHz
143	2016-01-09 15:43:09	Ls	10,6	uH	Q	0,000		1KHz
144	2016-01-09 15:43:09	Ls	10,6	uH	Q	0,000		1KHz
145	2016-01-09 15:43:10	Ls	10,6	uH	Q	0,000		1KHz
146	2016-01-09 15:43:10	Ls	10,6	uH	Q	0,000		1KHz
147	2016-01-09 15:43:11	Ls	10,6	uH	Q	0,000		1KHz
148	2016-01-09 15:43:11	Ls	10,6	uH	Q	0,000		1KHz
149	2016-01-09 15:43:12	Ls	10,6	uH	Q	0,000		1KHz
150	2016-01-09 15:43:12	Ls	10,6	uH	Q	0,000		1KHz
151	2016-01-09 15:43:13	Ls	10,4	uH	Q	0,000		1KHz
152	2016-01-09 15:43:13	Cs	-		D	-		1KHz
153	2016-01-09 15:43:14	Cs	-		D	-		1KHz
154	2016-01-09 15:43:14	Cs	OL	uF	D	-		1KHz
155	2016-01-09 15:43:15	Cs	OL	uF	D	-		1KHz
156	2016-01-09 15:43:15	Cs	OL	uF	D	-		1KHz
157	2016-01-09 15:43:16	Cs	OL	uF	D	-		1KHz
158	2016-01-09 15:43:16	Cs	OL	uF	D	-		1KHz
159	2016-01-09 15:43:17	Cs	OL	uF	D	-		1KHz
160	2016-01-09 15:43:17	Cs	OL	uF	D	-		1KHz
161	2016-01-09 15:43:18	Cs	OL	uF	D	-		1KHz
162	2016-01-09 15:43:18	Cs	OL	uF	D	-		1KHz
163	2016-01-09 15:43:19	Cs	OL	uF	D	-		1KHz
164	2016-01-09 15:43:19	Cs	OL	uF	D	-		1KHz
165	2016-01-09 15:43:20	Cs	OL	uF	D	-		1KHz
166	2016-01-09 15:43:20	Cs	OL	uF	D	-		1KHz
167	2016-01-09 15:43:21	Cs	OL	uF	D	-		1KHz
168	2016-01-09 15:43:21	Cs	OL	uF	D	-		1KHz
169	2016-01-09 15:43:22	Cs	OL	uF	D	-		1KHz
170	2016-01-09 15:43:22	Cs	OL	uF	D	-		1KHz
171	2016-01-09 15:43:23	Cs	OL	uF	D	-		1KHz
172	2016-01-09 15:43:23	Cs	OL	uF	D	-		1KHz
173	2016-01-09 15:43:24	Cs	OL	uF	D	-		1KHz
174	2016-01-09 15:43:24	Cs	OL	uF	D	-		1KHz
175	2016-01-09 15:43:25	Cs	OL	uF	D	-		1KHz
176	2016-01-09 15:43:25	Cs	OL	uF	D	-		1KHz
177	2016-01-09 15:43:26	Cs	OL	uF	D	-		1KHz
178	2016-01-09 15:43:26	Cs	OL	uF	D	-		1KHz
179	2016-01-09 15:43:27	Cs	OL	uF	D	-		1KHz
180	2016-01-09 15:43:27	Cs	OL	uF	D	-		1KHz
181	2016-01-09 15:43:28	Cs	OL	uF	D	-		1KHz
182	2016-01-09 15:43:28	Cs	OL	uF	D	-		1KHz
183	2016-01-09 15:43:29	Cs	OL	uF	D	-		1KHz
184	2016-01-09 15:43:29	Cs	OL	uF	D	-		1KHz
